# Shallow NN predicting years
4.863925438586570449e-01,4.856586095153343496e-01,4.849432806147900843e-01,4.844516543960407651e-01,4.837900019055113576e-01
6.961069145845438788e-02,7.077280650784427418e-02,7.689327910129770127e-02,7.303893085415455455e-02,7.528568661630834213e-02
4.796790736298188751e-01,4.789996069011554503e-01,4.782460119872650739e-01,4.777302629152111457e-01,4.770765373451097968e-01
7.013143849131470153e-02,7.048079100309456724e-02,7.530271826445122940e-02,7.186094907432366563e-02,7.564128829129961040e-02
1.000163218406002613e-01,1.030791696318157508e-01,9.534239957173551439e-02,9.811950634051111453e-02,9.383491437564649151e-02
1.537182997201913259e-01,1.550495625864259930e-01,1.479614515296770738e-01,1.485621360487850984e-01,1.442033863809362992e-01
# Deep NN predicting years
4.857566010395047429e-01,4.839999242703049709e-01,4.841670296339928292e-01,4.833479801861396696e-01,4.849100723779466993e-01
7.824907999225257094e-02,7.700949060623668574e-02,6.312221576602750073e-02,7.389114855704048690e-02,7.464652333914391369e-02
4.788362285186320011e-01,4.769230478251121896e-01,4.770557964658416750e-01,4.761771567511068337e-01,4.776727625040760317e-01
7.617178654992830256e-02,7.644997466116040807e-02,6.252116062667802121e-02,7.517764143924608733e-02,7.362496360911335858e-02
1.006759418246272325e-01,9.685880737401027230e-02,1.084401325768888646e-01,8.664155279465803050e-02,8.913378903915356033e-02
1.540759773269007593e-01,1.481884611075602320e-01,1.553127077596606342e-01,1.351964851173920457e-01,1.396470057758622541e-01
# Deeper NN predicting years
4.885488286272873792e-01,4.875147457553877239e-01,4.884233727649425760e-01,4.860617106470562221e-01,4.884600569869591014e-01
7.081154367615727363e-02,6.625992639938020623e-02,7.819097423978307870e-02,7.644780166569824231e-02,7.797791981406158868e-02
4.778983515881193300e-01,4.767914838641243436e-01,4.776435681647462905e-01,4.753406388495300394e-01,4.778678031421050854e-01
7.324973313349794624e-02,6.635972526228395285e-02,7.782366324143062675e-02,7.717671414554197473e-02,7.781503725348544453e-02
8.730791913945590288e-02,9.954494708461442132e-02,9.374046532481683514e-02,8.065121967677507664e-02,9.234070427656421165e-02
1.363834765062538479e-01,1.457857724104567598e-01,1.441199520318793004e-01,1.259272775177670833e-01,1.419570795509556005e-01
# Shallow NN predicting decades
7.269441546961978862e-01,6.980680968562189559e-01,6.923543088215438068e-01,7.482030257947429597e-01,7.100000789539645529e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100575282238166031e-01,2.875455153154986010e-01,2.917837800674147331e-01,2.822069998818408920e-01,2.799481797631002133e-01
5.233537841130867507e-01,5.623971620499660373e-01,5.584766505288808469e-01,5.604088718286016624e-01,5.608725186806551299e-01
9.264550648847569292e-01,9.521838078636452041e-01,9.423155142359093128e-01,9.660275033895022734e-01,9.673978307185744363e-01
9.284961294823387279e-01,9.541442476900237057e-01,9.443823015258238085e-01,9.676486643576577285e-01,9.693916256905351636e-01
# Deep NN predicting decades
6.822731098876827494e-01,6.884998325080712300e-01,7.462116904188903499e-01,7.170494490902846740e-01,7.070963115818474920e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.957452553094572223e-01,2.869188949591791049e-01,2.756511950454937354e-01,2.753135337929230597e-01,2.749209517932437730e-01
5.536159063217709342e-01,5.640619777233861765e-01,5.625955597727052560e-01,5.697335647973431616e-01,5.694359682132343892e-01
9.391439085802827380e-01,9.419305636257989667e-01,9.630689521595970914e-01,9.544741429401510935e-01,9.639018012783265865e-01
9.413503957079508710e-01,9.442610006776388509e-01,9.648548827671108441e-01,9.581121480511920474e-01,9.666824035131998949e-01
# Deeper NN predicting decades
8.106224535857923241e-01,7.382954601860345356e-01,6.832487185193794055e-01,6.768128799580177546e-01,7.637822020728766148e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100452827154991375e-01,2.785688368436584073e-01,2.804816227014691465e-01,2.844038291916896610e-01,2.745052598003466238e-01
5.266251900412969311e-01,5.570813969787477005e-01,5.611356113129831735e-01,5.567514529398445156e-01,5.698607981195346062e-01
9.844446058493123708e-01,9.653374975789269508e-01,9.433662599263993309e-01,9.239540964555490454e-01,9.674777261282200280e-01
9.862928169283121660e-01,9.681297138520789103e-01,9.480677388964968699e-01,9.286781491905795605e-01,9.698100257548483150e-01
